i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
0.325,0.226,-0.099,-0.2755,0.212,0.0635,0.0585,-0.0275,0.1335,0.023,0.0535,0.0325,-0.0755,-0.067,-0.0615
0.3075,0.2315,-0.076,-0.2695,0.1915,0.0775,0.0635,-0.022,0.137,0.0245,0.056,0.034,-0.077,-0.0605,-0.0625
0.2835,0.2235,-0.06,-0.2535,0.172,0.0815,0.0675,-0.022,0.1385,0.0235,0.057,0.034,-0.077,-0.0565,-0.061
0.2765,0.2225,-0.054,-0.2495,0.165,0.0845,0.067,-0.0245,0.1365,0.0205,0.054,0.0295,-0.082,-0.05,-0.064
0.2745,0.224,-0.0505,-0.2495,0.1625,0.0865,0.066,-0.0265,0.133,0.0175,0.051,0.026,-0.083,-0.0415,-0.0655
0.277,0.218,-0.059,-0.2475,0.168,0.0795,0.066,-0.026,0.1315,0.017,0.0505,0.026,-0.0835,-0.0515,-0.06
0.2765,0.216,-0.0605,-0.246,0.1685,0.0775,0.066,-0.0285,0.1295,0.0155,0.0475,0.0235,-0.086,-0.0595,-0.0575
0.2825,0.2145,-0.068,-0.2485,0.175,0.0735,0.063,-0.0335,0.1255,0.0125,0.0445,0.02,-0.0885,-0.062,-0.057
0.2865,0.2095,-0.077,-0.248,0.182,0.066,0.067,-0.0295,0.13,0.019,0.0495,0.0265,-0.088,-0.0715,-0.056
0.285,0.211,-0.074,-0.248,0.1795,0.0685,0.0695,-0.0265,0.134,0.021,0.0525,0.029,-0.087,-0.0705,-0.0575
0.2665,0.2195,-0.047,-0.243,0.1565,0.086,0.0725,-0.022,0.1375,0.024,0.058,0.033,-0.088,-0.0645,-0.059
0.2495,0.225,-0.024,-0.237,0.137,0.1005,0.077,-0.019,0.1405,0.0265,0.06,0.0365,-0.0885,-0.06,-0.0575
0.267,0.2255,-0.0415,-0.246,0.1545,0.092,0.072,-0.0255,0.1345,0.0205,0.051,0.0285,-0.0905,-0.0605,-0.0575
0.282,0.2175,-0.0645,-0.2495,0.173,0.0765,0.071,-0.026,0.1345,0.0195,0.051,0.027,-0.0905,-0.071,-0.0585
0.278,0.2125,-0.065,-0.245,0.1715,0.0735,0.0735,-0.0245,0.1365,0.022,0.0535,0.0295,-0.09,-0.071,-0.058
0.26,0.2125,-0.0475,-0.236,0.154,0.0825,0.078,-0.021,0.1375,0.0255,0.0545,0.0325,-0.091,-0.068,-0.057
0.243,0.2055,-0.0375,-0.224,0.1405,0.084,0.076,-0.0225,0.135,0.022,0.0535,0.0295,-0.0915,-0.062,-0.0575
0.23,0.205,-0.0255,-0.2175,0.128,0.0895,0.076,-0.0225,0.137,0.0235,0.053,0.031,-0.091,-0.053,-0.0585
0.2105,0.209,-0.002,-0.2095,0.106,0.1035,0.0805,-0.016,0.143,0.0295,0.061,0.0365,-0.0915,-0.0535,-0.057
0.211,0.2095,-0.001,-0.21,0.106,0.1045,0.0805,-0.016,0.143,0.028,0.062,0.0365,-0.091,-0.058,-0.0545
0.227,0.2125,-0.0145,-0.22,0.1205,0.0995,0.0795,-0.018,0.1425,0.025,0.0585,0.036,-0.09,-0.061,-0.055
0.2235,0.2145,-0.009,-0.219,0.116,0.103,0.081,-0.0145,0.145,0.029,0.0625,0.0365,-0.0915,-0.0615,-0.0565
0.2175,0.213,-0.0045,-0.215,0.111,0.104,0.081,-0.013,0.145,0.031,0.063,0.0385,-0.091,-0.0625,-0.057
0.2435,0.217,-0.0265,-0.23,0.135,0.095,0.0705,-0.0225,0.1355,0.0195,0.0535,0.0285,-0.0905,-0.0615,-0.059
0.2955,0.227,-0.069,-0.261,0.182,0.079,0.0565,-0.0365,0.1225,0.0045,0.04,0.013,-0.0915,-0.057,-0.0595
0.319,0.228,-0.091,-0.2735,0.205,0.0685,0.048,-0.0455,0.1125,-0.0035,0.031,0.0035,-0.0925,-0.057,-0.0585
0.301,0.229,-0.072,-0.265,0.186,0.0785,0.053,-0.0415,0.116,0.0005,0.034,0.007,-0.0935,-0.056,-0.057
0.288,0.2335,-0.0545,-0.2605,0.1715,0.0895,0.058,-0.0345,0.121,0.0065,0.038,0.0125,-0.093,-0.0495,-0.0575
0.281,0.2265,-0.0545,-0.2535,0.1675,0.086,0.0615,-0.0285,0.123,0.01,0.0395,0.014,-0.092,-0.0515,-0.058
0.27,0.22,-0.0505,-0.245,0.1605,0.0845,0.0685,-0.0185,0.129,0.0135,0.042,0.0155,-0.0925,-0.0515,-0.061
0.264,0.2245,-0.0395,-0.244,0.152,0.0925,0.072,-0.011,0.132,0.012,0.041,0.0125,-0.0945,-0.046,-0.0625
0.2555,0.227,-0.029,-0.2415,0.1425,0.099,0.0785,0.002,0.139,0.014,0.0415,0.014,-0.0955,-0.045,-0.066
0.2475,0.232,-0.0155,-0.2395,0.1315,0.1085,0.092,0.027,0.154,0.0225,0.0485,0.02,-0.0965,-0.044,-0.072
0.2375,0.24,0.0025,-0.239,0.1175,0.121,0.106,0.05,0.171,0.0345,0.0575,0.0275,-0.098,-0.0405,-0.0755
0.224,0.245,0.021,-0.2345,0.1015,0.133,0.1165,0.0745,0.1925,0.048,0.0665,0.0335,-0.0965,-0.0315,-0.0825
0.215,0.259,0.0435,-0.237,0.0855,0.1515,0.127,0.0945,0.212,0.0575,0.072,0.037,-0.095,-0.0165,-0.091
0.2055,0.276,0.0705,-0.2405,0.0675,0.173,0.147,0.124,0.235,0.07,0.0785,0.0405,-0.095,0.0035,-0.102
0.1915,0.2885,0.097,-0.24,0.0475,0.1925,0.1795,0.185,0.2785,0.0945,0.096,0.053,-0.0935,0.0155,-0.114
0.1845,0.2935,0.109,-0.239,0.0375,0.2015,0.2085,0.242,0.3205,0.1155,0.1115,0.0635,-0.0905,0.022,-0.1235
0.193,0.3055,0.1125,-0.249,0.0405,0.209,0.231,0.2895,0.3555,0.1305,0.1185,0.064,-0.0865,0.0365,-0.1375
0.2135,0.3245,0.111,-0.269,0.0515,0.218,0.254,0.32,0.38,0.14,0.1205,0.0625,-0.0855,0.0495,-0.154
0.213,0.3305,0.1175,-0.272,0.0475,0.224,0.2835,0.345,0.4005,0.1485,0.1235,0.0595,-0.0855,0.059,-0.1685
0.1935,0.3295,0.136,-0.2615,0.029,0.233,0.3235,0.403,0.442,0.175,0.141,0.066,-0.0815,0.06,-0.1905
0.2055,0.332,0.1265,-0.2685,0.0395,0.229,0.3525,0.46,0.491,0.211,0.1625,0.0725,-0.07,0.056,-0.215
0.2125,0.329,0.1165,-0.271,0.048,0.223,0.377,0.4775,0.523,0.2375,0.1785,0.0775,-0.062,0.049,-0.231
0.22,0.3305,0.1105,-0.275,0.055,0.2205,0.386,0.444,0.5385,0.263,0.2,0.092,-0.05,0.042,-0.2365
0.241,0.3355,0.0945,-0.2885,0.0735,0.215,0.3855,0.4005,0.564,0.296,0.2235,0.103,-0.0345,0.0365,-0.2425
0.252,0.347,0.095,-0.2995,0.0785,0.221,0.384,0.3575,0.5865,0.328,0.249,0.1155,-0.016,0.0405,-0.2525
0.2675,0.3685,0.101,-0.318,0.0835,0.2345,0.385,0.3065,0.615,0.379,0.291,0.1445,0.013,0.0585,-0.2605
0.268,0.382,0.114,-0.325,0.077,0.248,0.3775,0.2445,0.6555,0.4465,0.351,0.1855,0.0505,0.0685,-0.267
0.277,0.4145,0.1375,-0.346,0.07,0.276,0.335,0.1455,0.689,0.5245,0.426,0.2425,0.1055,0.0925,-0.2695
0.3035,0.447,0.144,-0.375,0.0795,0.2955,0.3065,0.0635,0.734,0.616,0.5085,0.303,0.167,0.1145,-0.275
0.3215,0.472,0.151,-0.3965,0.085,0.3115,0.284,0.001,0.801,0.724,0.6085,0.376,0.2395,0.13,-0.286
0.3505,0.524,0.1735,-0.4375,0.0885,0.349,0.2445,-0.0805,0.876,0.8565,0.7315,0.472,0.327,0.163,-0.293
0.413,0.571,0.1585,-0.492,0.1275,0.365,0.1715,-0.2005,0.9205,0.9775,0.8485,0.564,0.423,0.191,-0.2895
0.5065,0.617,0.1105,-0.5615,0.198,0.3635,0.0695,-0.3655,0.9295,1.078,0.9555,0.647,0.524,0.221,-0.277
0.588,0.672,0.084,-0.6295,0.252,0.378,-0.028,-0.542,0.9185,1.1675,1.0535,0.729,0.6155,0.2595,-0.2605
0.652,0.7255,0.0735,-0.688,0.2895,0.3995,-0.1255,-0.701,0.9225,1.2605,1.155,0.8165,0.709,0.29,-0.2425
0.728,0.768,0.04,-0.7475,0.344,0.404,-0.2315,-0.847,0.933,1.3635,1.265,0.9065,0.809,0.3095,-0.2255
0.7915,0.8065,0.015,-0.7985,0.388,0.411,-0.3285,-0.9785,0.9485,1.4665,1.374,0.999,0.9075,0.333,-0.2105
0.865,0.8555,-0.01,-0.86,0.4375,0.4225,-0.4125,-1.092,0.972,1.569,1.479,1.092,1.0035,0.3595,-0.197
0.9495,0.895,-0.0545,-0.922,0.502,0.4205,-0.489,-1.2005,0.9625,1.6255,1.554,1.167,1.083,0.381,-0.1765
1.024,0.9205,-0.1035,-0.972,0.5635,0.4085,-0.568,-1.316,0.8875,1.606,1.5735,1.212,1.134,0.396,-0.142
1.1025,0.941,-0.161,-1.0215,0.632,0.39,-0.6575,-1.4455,0.771,1.5515,1.567,1.244,1.173,0.403,-0.104
1.147,0.9785,-0.168,-1.062,0.6575,0.4055,-0.7265,-1.5695,0.69,1.519,1.5765,1.282,1.2055,0.429,-0.07
1.192,1.025,-0.167,-1.108,0.6795,0.429,-0.8055,-1.6945,0.616,1.4875,1.5795,1.317,1.2335,0.465,-0.0325
1.254,1.063,-0.191,-1.158,0.7225,0.436,-0.8835,-1.8015,0.538,1.448,1.576,1.347,1.2625,0.494,-0.0025
1.291,1.092,-0.199,-1.191,0.745,0.4465,-0.9285,-1.8575,0.493,1.427,1.581,1.375,1.286,0.52,0.014
1.317,1.105,-0.212,-1.2105,0.7645,0.4465,-0.965,-1.915,0.4305,1.381,1.562,1.3845,1.2875,0.5305,0.0375
1.3255,1.113,-0.2125,-1.2185,0.769,0.4505,-1.005,-1.995,0.3195,1.285,1.5045,1.3695,1.265,0.541,0.0705
1.3175,1.0925,-0.225,-1.2045,0.7715,0.434,-1.0345,-2.0485,0.1975,1.163,1.415,1.3245,1.22,0.533,0.1025
1.317,1.0535,-0.263,-1.185,0.79,0.395,-1.0545,-2.083,0.0785,1.035,1.316,1.2685,1.162,0.513,0.1335
1.302,1.0295,-0.2725,-1.165,0.7875,0.3785,-1.074,-2.1115,-0.038,0.9195,1.234,1.2295,1.116,0.5,0.1595
1.2795,1.0075,-0.272,-1.143,0.7755,0.3675,-1.096,-2.1575,-0.1705,0.7925,1.1435,1.1835,1.0625,0.4845,0.1885
1.281,0.9795,-0.3015,-1.13,0.7915,0.339,-1.128,-2.205,-0.319,0.644,1.0315,1.1165,0.9945,0.4615,0.22
1.263,0.9345,-0.328,-1.0985,0.7955,0.3035,-1.1635,-2.255,-0.482,0.482,0.9085,1.043,0.9205,0.4315,0.251
1.205,0.898,-0.3065,-1.051,0.756,0.2955,-1.2065,-2.341,-0.659,0.314,0.7815,0.973,0.843,0.4245,0.29
1.1505,0.867,-0.2835,-1.008,0.717,0.2915,-1.227,-2.391,-0.8065,0.166,0.665,0.901,0.7675,0.405,0.321
1.1015,0.797,-0.3045,-0.949,0.703,0.2465,-1.215,-2.384,-0.9275,0.022,0.544,0.8165,0.68,0.3485,0.3455
1.0495,0.708,-0.342,-0.878,0.6955,0.183,-1.181,-2.362,-1.04,-0.126,0.411,0.716,0.579,0.289,0.365
0.9915,0.6465,-0.345,-0.8185,0.668,0.151,-1.148,-2.3645,-1.1625,-0.2715,0.2825,0.623,0.481,0.249,0.384
0.9075,0.5965,-0.3105,-0.7515,0.609,0.143,-1.114,-2.371,-1.275,-0.405,0.1665,0.5435,0.3875,0.2205,0.405
0.8365,0.5435,-0.2925,-0.6895,0.5645,0.1255,-1.078,-2.367,-1.371,-0.529,0.0545,0.465,0.297,0.194,0.424
0.789,0.496,-0.293,-0.642,0.541,0.1015,-1.04,-2.328,-1.419,-0.613,-0.0275,0.4005,0.2255,0.1715,0.4395
0.749,0.4595,-0.289,-0.604,0.519,0.0855,-0.9885,-2.2565,-1.4175,-0.6565,-0.082,0.3495,0.1705,0.1575,0.4435
0.7125,0.457,-0.2555,-0.585,0.484,0.101,-0.926,-2.174,-1.387,-0.6715,-0.113,0.318,0.132,0.176,0.433
0.667,0.4785,-0.1885,-0.573,0.4275,0.145,-0.862,-2.0565,-1.3005,-0.6265,-0.091,0.328,0.123,0.207,0.4185
0.6335,0.4935,-0.14,-0.5635,0.3865,0.1765,-0.8005,-1.93,-1.203,-0.573,-0.0595,0.346,0.12,0.225,0.4055
0.631,0.514,-0.117,-0.5725,0.374,0.1985,-0.7405,-1.801,-1.107,-0.524,-0.0345,0.3545,0.1175,0.2495,0.389
0.6475,0.5485,-0.099,-0.598,0.373,0.225,-0.697,-1.6895,-1.018,-0.475,-0.0085,0.365,0.1245,0.2855,0.377
0.6355,0.569,-0.066,-0.602,0.3505,0.2515,-0.65,-1.585,-0.94,-0.4385,0.005,0.3615,0.1175,0.3115,0.3585
0.626,0.578,-0.048,-0.6015,0.337,0.265,-0.6045,-1.4685,-0.8625,-0.4055,0.013,0.351,0.1085,0.325,0.334
0.6275,0.585,-0.043,-0.6055,0.335,0.271,-0.563,-1.353,-0.788,-0.3735,0.0225,0.344,0.106,0.329,0.305
0.589,0.5765,-0.012,-0.5825,0.3005,0.2825,-0.5185,-1.2345,-0.7085,-0.331,0.041,0.3455,0.1035,0.3185,0.277
0.556,0.5515,-0.0045,-0.5535,0.28,0.2735,-0.484,-1.12,-0.6355,-0.296,0.053,0.341,0.1,0.288,0.2545
0.55,0.5255,-0.0245,-0.538,0.2875,0.2505,-0.4745,-1.0295,-0.5835,-0.281,0.0475,0.319,0.096,0.2575,0.2375
0.5435,0.5005,-0.043,-0.522,0.2935,0.2285,-0.465,-0.949,-0.5355,-0.2665,0.045,0.2995,0.0955,0.2315,0.226
0.5255,0.4745,-0.051,-0.5,0.288,0.212,-0.438,-0.8685,-0.4875,-0.249,0.0425,0.283,0.091,0.202,0.211
0.4885,0.4415,-0.047,-0.465,0.2675,0.1975,-0.4095,-0.7925,-0.4445,-0.2365,0.0325,0.2555,0.075,0.175,0.1955
0.4575,0.41,-0.0475,-0.434,0.2525,0.1815,-0.375,-0.713,-0.3975,-0.2215,0.024,0.2285,0.059,0.148,0.1775
0.446,0.3805,-0.0655,-0.413,0.2555,0.1575,-0.3415,-0.6425,-0.358,-0.212,0.0115,0.1975,0.038,0.1175,0.162
0.4135,0.35,-0.0635,-0.3815,0.2385,0.1435,-0.3025,-0.574,-0.322,-0.213,-0.012,0.1545,0.0065,0.0895,0.146
0.376,0.344,-0.032,-0.3605,0.204,0.156,-0.269,-0.5195,-0.2945,-0.2155,-0.0375,0.1135,-0.02,0.083,0.1285
0.362,0.3285,-0.0335,-0.3455,0.198,0.1475,-0.241,-0.4695,-0.2675,-0.213,-0.0525,0.0815,-0.04,0.071,0.112
0.339,0.286,-0.053,-0.3125,0.196,0.1165,-0.2,-0.407,-0.229,-0.2005,-0.0565,0.059,-0.0615,0.0325,0.0955
0.31,0.2585,-0.0515,-0.2845,0.1805,0.1035,-0.163,-0.3525,-0.1945,-0.1865,-0.058,0.043,-0.0795,0.007,0.0815
0.28,0.246,-0.034,-0.263,0.157,0.106,-0.128,-0.303,-0.1585,-0.169,-0.051,0.0365,-0.089,-0.002,0.064
0.246,0.234,-0.012,-0.24,0.129,0.111,-0.093,-0.253,-0.1225,-0.1525,-0.047,0.0245,-0.1045,-0.0145,0.046
0.2415,0.229,-0.0125,-0.2355,0.127,0.1085,-0.0675,-0.213,-0.0935,-0.1415,-0.047,0.0105,-0.116,-0.0235,0.032
0.261,0.227,-0.034,-0.244,0.1475,0.0965,-0.049,-0.1845,-0.073,-0.1345,-0.05,-0.004,-0.1235,-0.0255,0.019
0.249,0.2185,-0.0305,-0.234,0.14,0.094,-0.0335,-0.161,-0.057,-0.1315,-0.0565,-0.02,-0.133,-0.0325,0.011
0.2255,0.204,-0.0215,-0.215,0.1235,0.091,-0.014,-0.135,-0.0385,-0.1245,-0.057,-0.0275,-0.142,-0.0405,0.0005
0.234,0.1985,-0.0355,-0.2165,0.1345,0.0815,0.0,-0.1125,-0.0245,-0.1205,-0.0595,-0.038,-0.151,-0.048,-0.01
0.2315,0.197,-0.035,-0.2145,0.1335,0.081,0.0095,-0.0935,-0.012,-0.1175,-0.0635,-0.048,-0.156,-0.0605,-0.015
0.216,0.192,-0.0235,-0.204,0.1195,0.0845,0.026,-0.07,0.0045,-0.11,-0.064,-0.0535,-0.1615,-0.069,-0.022
0.211,0.1865,-0.0245,-0.1985,0.1175,0.081,0.0395,-0.048,0.0205,-0.1025,-0.062,-0.059,-0.166,-0.074,-0.0305
0.2055,0.182,-0.0235,-0.194,0.1145,0.079,0.0505,-0.031,0.03,-0.097,-0.062,-0.0635,-0.17,-0.0765,-0.036
0.185,0.1785,-0.0065,-0.1815,0.096,0.0855,0.063,-0.0145,0.0415,-0.092,-0.0595,-0.065,-0.171,-0.079,-0.0395
0.169,0.17,0.001,-0.1695,0.084,0.0855,0.0685,-0.0035,0.047,-0.0935,-0.0625,-0.0715,-0.174,-0.082,-0.043
0.1775,0.168,-0.0095,-0.173,0.0935,0.079,0.0675,0.001,0.0465,-0.098,-0.07,-0.079,-0.1765,-0.0845,-0.0455
0.1865,0.161,-0.0255,-0.1735,0.106,0.0675,0.0725,0.009,0.052,-0.0955,-0.0685,-0.079,-0.1765,-0.0925,-0.046
0.188,0.155,-0.033,-0.1715,0.1105,0.061,0.078,0.016,0.055,-0.0935,-0.067,-0.0785,-0.1785,-0.095,-0.0465
0.1765,0.153,-0.0235,-0.1645,0.1,0.0645,0.078,0.017,0.055,-0.095,-0.0695,-0.081,-0.179,-0.0935,-0.0455
0.1875,0.1485,-0.039,-0.168,0.113,0.055,0.0735,0.013,0.05,-0.1025,-0.077,-0.0905,-0.183,-0.0945,-0.047
0.1995,0.1425,-0.057,-0.171,0.1285,0.0425,0.0685,0.0095,0.046,-0.1085,-0.0845,-0.0985,-0.186,-0.0965,-0.05
0.1805,0.141,-0.039,-0.1605,0.1095,0.051,0.0745,0.016,0.052,-0.1025,-0.0805,-0.0955,-0.1865,-0.1015,-0.048
0.176,0.1545,-0.0215,-0.165,0.099,0.0665,0.0845,0.0275,0.0615,-0.0945,-0.0735,-0.0885,-0.187,-0.1025,-0.047
0.1655,0.1555,-0.01,-0.1605,0.088,0.0725,0.0895,0.0315,0.064,-0.0945,-0.074,-0.089,-0.188,-0.0975,-0.0495
0.152,0.15,-0.002,-0.151,0.077,0.074,0.0945,0.0355,0.0675,-0.094,-0.0725,-0.09,-0.1895,-0.1005,-0.052
0.141,0.1425,0.002,-0.1415,0.0695,0.0725,0.099,0.043,0.0745,-0.0895,-0.068,-0.086,-0.19,-0.106,-0.0515
0.1485,0.142,-0.0065,-0.145,0.0775,0.0675,0.097,0.039,0.07,-0.0955,-0.074,-0.093,-0.1915,-0.1015,-0.0515
0.1735,0.1545,-0.0185,-0.164,0.096,0.068,0.0965,0.037,0.067,-0.098,-0.079,-0.0985,-0.1935,-0.098,-0.0525
0.1845,0.155,-0.0295,-0.17,0.107,0.0625,0.095,0.036,0.065,-0.101,-0.0835,-0.1025,-0.195,-0.0965,-0.052
0.196,0.1495,-0.047,-0.1725,0.1215,0.051,0.089,0.0305,0.058,-0.1085,-0.0935,-0.111,-0.195,-0.0985,-0.052
0.2,0.147,-0.053,-0.1735,0.1265,0.047,0.09,0.033,0.059,-0.1075,-0.0915,-0.112,-0.1955,-0.104,-0.052
0.187,0.143,-0.0435,-0.165,0.115,0.0495,0.096,0.04,0.066,-0.101,-0.0855,-0.107,-0.196,-0.104,-0.0525
0.164,0.145,-0.019,-0.1545,0.0915,0.063,0.1015,0.048,0.0725,-0.095,-0.08,-0.103,-0.1985,-0.1,-0.0535
0.1625,0.153,-0.0095,-0.158,0.0865,0.0715,0.1005,0.0495,0.074,-0.0955,-0.08,-0.105,-0.2005,-0.0985,-0.0545
0.157,0.1445,-0.0125,-0.1505,0.0845,0.066,0.0925,0.044,0.068,-0.101,-0.09,-0.1125,-0.1995,-0.0965,-0.055
0.1455,0.134,-0.0115,-0.1395,0.0785,0.061,0.0885,0.041,0.065,-0.1075,-0.094,-0.1175,-0.201,-0.099,-0.054
0.162,0.136,-0.026,-0.149,0.094,0.055,0.084,0.0415,0.062,-0.1115,-0.097,-0.1205,-0.2035,-0.101,-0.0555
0.18,0.144,-0.036,-0.162,0.108,0.054,0.0825,0.0435,0.062,-0.1135,-0.0995,-0.1235,-0.2045,-0.0965,-0.0575
0.175,0.15,-0.025,-0.1625,0.1,0.0625,0.0945,0.0535,0.0715,-0.1055,-0.092,-0.116,-0.205,-0.098,-0.0565
0.159,0.151,-0.008,-0.155,0.0835,0.0715,0.1045,0.058,0.073,-0.103,-0.091,-0.1145,-0.207,-0.1,-0.058
0.1635,0.153,-0.0105,-0.158,0.087,0.071,0.1015,0.052,0.066,-0.111,-0.099,-0.1215,-0.2095,-0.1005,-0.06
0.1605,0.1515,-0.0095,-0.156,0.085,0.071,0.103,0.0545,0.068,-0.109,-0.0975,-0.1205,-0.2105,-0.106,-0.0595
0.1365,0.1485,0.0125,-0.1425,0.062,0.0805,0.1085,0.0595,0.0735,-0.104,-0.093,-0.1165,-0.21,-0.1055,-0.0575
0.1405,0.1505,0.01,-0.1455,0.065,0.0805,0.1115,0.063,0.077,-0.102,-0.0915,-0.1145,-0.2105,-0.107,-0.056
0.156,0.148,-0.008,-0.152,0.082,0.07,0.119,0.069,0.082,-0.099,-0.087,-0.1115,-0.2115,-0.113,-0.0575
0.154,0.135,-0.019,-0.1445,0.0865,0.058,0.119,0.072,0.083,-0.097,-0.0875,-0.1125,-0.211,-0.114,-0.0585
0.144,0.1295,-0.015,-0.1365,0.0795,0.057,0.113,0.067,0.077,-0.102,-0.0935,-0.118,-0.21,-0.1115,-0.0585
0.1385,0.1355,-0.003,-0.137,0.0705,0.0665,0.113,0.067,0.076,-0.103,-0.094,-0.1195,-0.2115,-0.108,-0.0615
0.144,0.144,0.0,-0.144,0.072,0.072,0.1165,0.071,0.0785,-0.1015,-0.0915,-0.1175,-0.2125,-0.107,-0.0625
0.145,0.1525,0.007,-0.149,0.069,0.0795,0.1205,0.072,0.081,-0.1005,-0.0905,-0.117,-0.2135,-0.1045,-0.0615
0.1445,0.151,0.0065,-0.1475,0.069,0.0785,0.1215,0.0735,0.0805,-0.101,-0.091,-0.1185,-0.215,-0.1025,-0.062
0.151,0.1445,-0.0065,-0.1475,0.079,0.069,0.116,0.069,0.0735,-0.1085,-0.0985,-0.1245,-0.214,-0.101,-0.059
0.1655,0.1425,-0.0225,-0.154,0.094,0.06,0.1065,0.061,0.064,-0.118,-0.109,-0.1355,-0.215,-0.0955,-0.0575
0.1715,0.141,-0.0305,-0.156,0.101,0.055,0.106,0.062,0.063,-0.118,-0.11,-0.1375,-0.215,-0.098,-0.059
0.1535,0.1315,-0.022,-0.1425,0.0875,0.055,0.109,0.0655,0.066,-0.117,-0.1085,-0.136,-0.217,-0.104,-0.06
0.1165,0.132,0.0155,-0.1245,0.0505,0.074,0.117,0.0725,0.073,-0.1125,-0.1015,-0.13,-0.2195,-0.1015,-0.0605
0.08,0.14,0.06,-0.11,0.01,0.1,0.1335,0.089,0.0885,-0.0975,-0.089,-0.115,-0.22,-0.0995,-0.061
0.0935,0.148,0.0545,-0.1205,0.0195,0.1015,0.1285,0.0845,0.084,-0.1035,-0.0945,-0.123,-0.2225,-0.0955,-0.0625
0.1375,0.1555,0.018,-0.1465,0.0595,0.087,0.1175,0.0725,0.0725,-0.1185,-0.1075,-0.1365,-0.2225,-0.0935,-0.0605
0.1605,0.1545,-0.0065,-0.1575,0.0835,0.074,0.112,0.0715,0.069,-0.121,-0.1125,-0.1395,-0.2215,-0.096,-0.06
0.151,0.148,-0.003,-0.1495,0.077,0.0725,0.113,0.0755,0.072,-0.117,-0.1095,-0.1375,-0.224,-0.103,-0.0615
0.13,0.1335,0.004,-0.1315,0.063,0.069,0.1215,0.084,0.08,-0.1105,-0.102,-0.1305,-0.226,-0.111,-0.062
0.1225,0.1305,0.0085,-0.1265,0.057,0.0695,0.1205,0.0835,0.0775,-0.113,-0.1055,-0.1345,-0.226,-0.1075,-0.064
0.123,0.1295,0.0065,-0.126,0.058,0.068,0.1095,0.071,0.0645,-0.1255,-0.1195,-0.1475,-0.226,-0.1,-0.0635
0.1465,0.1355,-0.011,-0.141,0.0785,0.0625,0.1065,0.0695,0.0605,-0.129,-0.125,-0.1525,-0.2255,-0.0995,-0.0635
0.1545,0.148,-0.0065,-0.1515,0.0805,0.0705,0.1195,0.083,0.073,-0.1165,-0.1135,-0.141,-0.2255,-0.1045,-0.064
0.13,0.1395,0.009,-0.1345,0.0605,0.074,0.1295,0.091,0.0815,-0.109,-0.107,-0.134,-0.2275,-0.108,-0.0635
0.1115,0.1335,0.022,-0.1225,0.045,0.0775,0.1325,0.093,0.0845,-0.1065,-0.1045,-0.1335,-0.228,-0.1075,-0.0645
0.1075,0.1325,0.025,-0.12,0.041,0.079,0.133,0.0935,0.084,-0.107,-0.1035,-0.1355,-0.2295,-0.1065,-0.065
0.1175,0.1355,0.0185,-0.1265,0.0495,0.077,0.1295,0.0915,0.0795,-0.111,-0.1085,-0.1395,-0.23,-0.102,-0.066
0.142,0.1415,-0.0005,-0.1415,0.0715,0.0705,0.121,0.0845,0.0715,-0.119,-0.1165,-0.1475,-0.23,-0.0985,-0.0655
0.1495,0.1415,-0.008,-0.1455,0.0785,0.0665,0.1185,0.082,0.068,-0.122,-0.1215,-0.154,-0.231,-0.102,-0.066
0.1425,0.136,-0.0065,-0.1395,0.0745,0.065,0.1175,0.082,0.068,-0.1245,-0.122,-0.1535,-0.2305,-0.104,-0.0635
0.1435,0.1305,-0.0125,-0.137,0.078,0.059,0.1205,0.086,0.0735,-0.123,-0.12,-0.151,-0.2295,-0.1065,-0.062
0.1295,0.1335,0.004,-0.1315,0.0625,0.069,0.126,0.093,0.0785,-0.1175,-0.118,-0.1475,-0.232,-0.1065,-0.064
0.1285,0.135,0.007,-0.1315,0.0605,0.071,0.1225,0.092,0.075,-0.12,-0.121,-0.1505,-0.2325,-0.103,-0.0635
0.1305,0.139,0.0085,-0.135,0.061,0.074,0.124,0.096,0.078,-0.119,-0.12,-0.15,-0.2325,-0.1015,-0.066
0.1135,0.1405,0.027,-0.127,0.043,0.0835,0.1275,0.0985,0.081,-0.1175,-0.1185,-0.149,-0.234,-0.1015,-0.0655
0.1125,0.136,0.0235,-0.1245,0.0445,0.08,0.129,0.1025,0.083,-0.1145,-0.118,-0.1495,-0.235,-0.104,-0.0645
0.1175,0.1345,0.017,-0.126,0.05,0.076,0.1305,0.1065,0.0845,-0.114,-0.1175,-0.1485,-0.2355,-0.1045,-0.064
0.0925,0.1305,0.038,-0.1115,0.027,0.0845,0.135,0.111,0.0895,-0.1125,-0.1125,-0.144,-0.236,-0.1065,-0.0635
0.0805,0.133,0.052,-0.107,0.0145,0.092,0.136,0.114,0.0915,-0.111,-0.1125,-0.1435,-0.2375,-0.1045,-0.0655
0.101,0.135,0.0335,-0.118,0.034,0.0845,0.1305,0.109,0.0845,-0.1185,-0.12,-0.151,-0.2375,-0.1,-0.0645
0.1165,0.1365,0.02,-0.1265,0.0485,0.078,0.125,0.104,0.0785,-0.124,-0.1255,-0.1575,-0.236,-0.1035,-0.0655
0.141,0.134,-0.007,-0.1375,0.074,0.0635,0.1195,0.098,0.073,-0.13,-0.132,-0.1655,-0.2375,-0.1085,-0.066
